cytoband	2q31.2	9p21.3	2p11.1	1p35.2	1q31.1	20q11.1	10q11.21	14q32.33	16p12.3	19q13.2	18q21.2	1q21.1	17p11.2	16p11.2	Yq11.221	17p13.1	17q24.2	Xp22.33	6p25.1	7q36.3	22q11.22	4q35.2	6q25.3	19q13.42	7q34	12q21.31	22q13.33	16q11.2	15q14	6q11.1	12p13.33	1q44	2p23.1	9q21.31	
															HSFY2			ARSF	BTN1A1	SHH					PRSS37	DUSP6	MAPK11		CTSH		ATN1	ALX3	ANXA4	AUH	
															CDY2B			ASMT	BYSL	SLC4A2					PRSS58	EIF2B1	RANGAP1		CYP1A1		PHC1	AMPD1	AOX1	BAAT	
															TTTY10			ATP7A	C2	SMARCD3					TRY2P	ELK3	MAPK12		CYP1A2		EMP1	AMPD2	APOB	BAG1	
															TTTY7			ATRX	C4A	VIPR2					WEE2-AS1	GTF2H3	SBF1		CYP11A1		ENO2	AMY1A	RHOB	KLF9	
															TXLNGY			BMX	C4B	XRCC2					WEE2	HAL	SREBF2		CYP19A1		EPS8	AMY1B	RND3	C5	
															FAM197Y2P			BRS3	DDR1	ZNF212					MOXD2P	HPD	TCF20		DUT		ETV6	AMY1C	ATIC	C8G	
															TTTY20			BTK	RUNX2	ZNF282					MTRNR2L6	IGF1	TEF		EPB42		FGF6	AMY2A	ATP5G3	CA9	
															TTTY21			CACNA1F	CCNC	CUL1						KCNC2	UPK3A		ETFA		FKBP4	AMY2B	ATP6V1B1	CACNA1B	
															TTTY22			S100G	CCND3	ASIC3						LTA4H	WNT7B		FAH		FOXM1	APCS	KIF1A	CCIN	
															TTTY23			CAPN6	CDC5L	PDIA4						LUM	CELSR1		FBN1		GAPDH	APOA2	AUP1	KYAT1	
															BCORP1			CD40LG	CDKN1A	UBE3C						KITLG	PPP6R2		FGF7		GNB3	FASLG	BARD1	TNFSF8	
															RBMY1A3P			CDR1	CDSN	DNAJB6						MSI1	ZBED4		GABPB1		GPR19	ARF1	BCS1L	ENTPD2	
															FAM41AY1			CDX4	CGA	ABCF2						MVK	SCO2		GALK2		GRIN2B	RHOC	BCYRN1	CD72	
															GYG2P1			CHM	CLIC1	FASTK						MYBPC1	PKDREJ		GANC		GUCY2C	ARNT	BMPR2	CDK9	
															VCY1B			CLCN4	CLPS	ABCB8						MYF5	NUP50		GATM		GYS2	ASTN1	BOK	CDKN2A	
															FAM224B			CLCN5	CNR1	PAXIP1						MYF6	TOB2		GCHFR		IAPP	SERPINC1	ZFP36L2	CDKN2B	
															FAM224A			COL4A5	COL9A1	SSPO						MYL2	RABL2B		PDIA3		KCNA1	ATF3	BUB1	CEL	
															TSPY4			COL4A6	COL10A1	CNTNAP2						PPP1R12A	PACSIN2		GTF2A2		KCNA5	RERE	CACNB4	CELP	
															TSPY8			COX7B	COL11A2	GIMAP2						NAP1L1	GRAMD4		HDC		KCNA6	ATP1A1	CAD	CKS2	
															TSPY10			CSF2RA	COL12A1	ZNF777						NFYB	TTLL12		HEXA		KCNJ8	ATP1A2	CALM2	CLTA	
															NLGN4Y-AS1			CSTF2	COL19A1	TMEM176B						NOS1	MLC1		ONECUT1		KLRB1	ATP1A4	CAPG	CNTFR	
																		CYBB	COX7A2	REPIN1						NTS	ZC3H7B		IDH3A		KLRC1	ATP1B1	CASP8	COL5A1	
																		CYLC1	ATF6B	PRKAG2						OAS1	KIAA0930		IL16		KLRC2	ATP2B4	CASP10	COL15A1	
																		DCX	MAPK14	NUB1						OAS2	MAPK8IP2		IREB2		KLRC3	ATP5F1	CCNT2	SLC31A1	
																		DDX3X	CSNK2B	CHPF2						OAS3	PLXNB2		ISLR		KLRD1	ATP6V0B	CD8A	SLC31A2	
																		TIMM8A	CTGF	NCAPG2						P2RX4	BRD1		ITPKA		LAG3	AVPR1B	CD8B	CRAT	
																		DIAPH2	CYP21A2	WDR60						P2RX7	ARHGAP8		IVD		LDHB	ADGRB2	CD28	CTSL	
																		DLG3	CYP21A1P	GIMAP4						PEBP1	TBC1D22A		LIPC		LRP6	BCL9	CENPA	CTSV	
																		DMD	DAXX	GIMAP5						PAH	TTLL1		LOXL1		LTBR	BGLAP	CHN1	CTSLP8	
																		DRP2	DNAH8	TMEM176A						PAWR	SAMM50		LTK		M6PR	BMP8B	CHRNA1	CYLC2	
																		TSC22D3	DXO	ACTR3B						CDK17	ATXN10		SMAD3		MGP	BRDT	CHRND	DAPK1	
																		EDA	DSP	ESYT2						SLC25A3	FAM19A5		SMAD6		MGST1	C1QA	CHRNG	BRINP1	
																		EFNB1	E2F3	ZNF398						PLA2G1B	SULT4A1		MAN2C1		NDUFA9	C1QB	CLK1	DBH	
																		EIF1AX	EDN1	KMT2C						PMCH	RIBC2		MAP1A		NINJ2	C1QC	CNGA3	SARDH	
																		EIF2S3	EEF1A1	GALNT11						PPP1CC	ARFGAP3		MEIS2		NOP2	C4BPA	COL3A1	DNM1	
																		ELF4	SERPINB1	LMBR1						PRKAB1	SMC1B		MFAP1		NTF3	C4BPB	COL4A3	DMRT1	
																		ELK1	SLC29A1	LINC00244						PSMD9	CSDC2		MPI		OLR1	C8A	COL4A4	ECM2	
																		F9	EPB41L2	NOM1						PTPN11	RRP7A		MYO1E		PDE3A	C8B	COL5A2	TOR1A	
																		ACSL4	EPHA7	LRRC61						PXN	MCAT		MYO5A		PDE6H	CA6	COL6A3	LPAR1	
																		FANCB	EYA4	ZNF767P						RFC5	DESI1		MYO9A		PIK3C2G	CACNA1E	COX5B	S1PR3	
																		GPC4	ESR1	TMUB1						RFX4	PARVB		NEDD4		PRB1	CACNA1S	CPS1	MEGF9	
																		FGD1	F13A1	KRBA1						RPL6	NCAPH2		NEO1		PRB3	CAPN2	CREB1	ELAVL2	
																		FGF13	FABP7	ZBED6CL						RPLP0	GTSE1		NMB		PRB4	CAPZA1	ATF2	ENDOG	
																		FHL1	FANCE	AGAP3						CLIP1	A4GALT		OAZ2		PRH1	CAPZB	CRYBA2	ENG	
																		VEGFD	FKBP5	C7orf13						ATXN2	MOV10L1		PDE8A		PRH2	CASP9	CRYGA	STOM	
																		FMR1	FOXF2	ZNF786						SELPLG	FAM118A		PKM		PTMS	CASQ1	CRYGB	FANCC	
																		AFF2	FOXC1	ASB10						SNRPF	TTC38		PLCB2		PTPN6	CASQ2	CRYGC	FANCG	
																		CENPI	FOXO3	RNF32						SYT1	PRR34		PML		PTPRO	RUNX3	CRYGD	FBP1	
																		GAGE1	FRK	LINC00689						TBX5	MIOX		PPIB		PEX5	CD1A	CTLA4	FKTN	
																		GAGE2C	FUCA2	GIMAP8						TBX3	PRR5		MAPK6		PZP	CD1B	CTNNA2	FCN1	
																		GAGE4	FYN	CRYGN						HNF1A	TRMU		MAP2K1		RAD52	CD1C	CYP1B1	FCN2	
																		GAGE5	GABBR1	ZNF425						TDG	SEPT3		MAP2K5		KDM5A	CD1D	CYP27A1	FOXD4	
																		GAGE6	GABRR1	LOC155060						TMPO	PANX2		PSMA4		RECQL	CD1E	DARS	FOXE1	
																		GAGE7	GABRR2	ZNF746						NR2C1	PARVG		PTPN9		SCNN1A	CD2	DBI	MLANA	
																		GATA1	GCNT2	ATP6V0E2						HSP90B1	CERK		RAB27A		ST8SIA1	CD247	DCTN1	FPGS	
																		GJB1	GJA1	RBM33						TXNRD1	EFCAB6		RAD51		SLC2A3	CD5L	DDX1	FXN	
																		GK	GCLC	GALNTL5						UBC	CENPM		RASGRF1		SLC6A12	TNFRSF8	DES	NR5A1	
																		GLA	GLO1	GIMAP7						UBE2N	ALG12		RCN2		SLC6A13	CD34	DGUOK	FUT7	
																		GPC3	GLP1R	ZNF467						UNG	CRELD2		RORA		SLCO1A2	CD48	DHFRP3	GALT	
																		GLRA2	GMDS	GIMAP1						ALX1	C22orf46		RPL4		SOX5	CD53	DLX1	GAS1	
																		GLUD2	GMPR	PAXIP1-AS1						CDK2AP1	CCDC134		RPLP1		VAMP1	CD58	DLX2	NR6A1	
																		GPM6B	GNL1	C7orf33						BRAP	ADM2		RPS17		TEAD4	CDA	DNAH6	GCNT1	
																		CXCR3	GPLD1	FABP5P3						EEA1	SCUBE1		SH3GL3		TNFRSF1A	CDK11B	DYNC1I2	GGTA1P	
																		LPAR4	GPR6	CNPY1						RASAL1	TRABD		SLC12A1		TPI1	CDC20	DNMT3A	B4GALT1	
																		GPR34	GPX5	LOC285889						PPFIA2	PNPLA3		SNX1		TULP3	CDC42	DOK1	GLDC	
																		GRIA3	GRIK2	ZNF775						MAPKAPK5	SELO		SORD		VWF	CDKN2C	DPP4	GLE1	
																		GRPR	GRM1	LINC00996						DENR	HDAC10		SPINT1		FGF23	CD52	DTNB	GNAQ	
																		GUCY2F	GRM4	ATG9B						OASL	LDOC1L		SRP14		MFAP5	CENPF	DTYMK	GNG10	
																		HSD17B10	GSTA1	BLACE						DYNLL1	POLDIP3		TCF12		USP5	RCC1	DUSP2	GOLGA1	
																		HCCS	GSTA2	WDR86						SRSF9	PHF5A		THBS1		MLF2	CHI3L1	E2F6	GOLGA2	
																		HNRNPH2	GSTA3	LOC389602						GALNT4	KIAA1644		TLE3		KLRC4	CHI3L2	EEF1B2	GPR21	
																		HPRT1	GSTA4	IQCA1L						CRADD	SHANK3		TP53BP1		YBX3	CHIT1	EGR4	RAPGEF1	
																		ERAS	GTF2H4	ATP6V0E2-AS1						HRK	TUBGCP6		TPM1		DYRK4	CHML	EMX1	GRIN1	
																		HTR2C	GUCA1A	MIR153-2						ADAM1A	LMF2		TYRO3		GPRC5A	LYST	EN1	GSN	
																		IDS	GUCA1B	GIMAP6						LIN7A	SMDT1		TYRO3P		CD163	CHRM3	EPAS1	HNRNPK	
																		IGBP1	HIST1H1C	ZNF862						SOCS2	RRP7BP		SLC30A4		GDF3	CHRNB2	EPHA4	HSD17B3	
																		IGSF1	HIST1H1D	MNX1-AS1						HCAR3	SERHL		AP3B2		CLSTN3	CKS1B	ERBB4	DNAJA1	
																		IL2RG	HIST1H1E	ACTR3C						HIP1R	PHF21B		ANP32A		C2CD5	CLCA1	ERCC3	HSPA5	
																		IL3RA	HIST1H1B	MIR595						RASSF9	KLHDC7B		SEMA7A		NCAPD2	CLCN6	FABP1	TNC	
																		IL13RA1	HIST1H1T	LOC728743						CABP1	TNFRSF13C		CILP		CLEC2B	CLCNKA	ACSL3	IARS	
																		IL13RA2	HIST1H2AE	MIR671						NCOR2	MEI1		PIAS1		ABCC9	CLCNKB	FAP	IFNA1	
																		ANOS1	HIST1H2AD	HTR5A-AS1						WSCD2	FAM109B		EIF3J		LPCAT3	CLK2	EFEMP1	IFNA2	
																		KCND1	HIST1H2BD	LINC01003						SART3	NFAM1		JMJD7-PLA2G4B		KLRG1	PLK3	FHL2	IFNA4	
																		LAMP2	HIST1H2BB	WDR86-AS1						KNTC1	PNPLA5		RAB11A		LRRC23	CNN3	FKBP1B	IFNA5	
																		PRICKLE3	HIST1H1A	PAXIP1-AS2						MLEC	PRR34-AS1		SNAP23		EMG1	CNR2	FN1	IFNA6	
																		SH2D1A	HCRTR2	ZNF783						GIT2	CDPF1		ALDH1A2		P3H3	COL8A2	FOSL2	IFNA7	
																		MAGEA8	HDAC2	MIR548F4						NUAK1	GTSE1-AS1		HERC1		AKAP3	COL9A2	FRZB	IFNA8	
																		MAGEA9	HFE	MIR3907						RBM19	WBP2NL		PSTPIP1		SLCO1B1	COL11A1	FSHR	IFNA10	
																		MAGEA11	HIVEP1	PRKAG2-AS1						RNF10	POLR3H		USP8		RAD51AP1	COL16A1	FTH1P3	IFNA13	
																		MAGEB1	HIVEP2	LOC100506302						NR1H4	SERHL2		CCNB2		KLRA1P	COPA	GAD1	IFNA14	
																		MAGEB2	HLA-A	LINC01006						SH2B3	RNU12		SLC28A2		TSPAN9	CORT	GALNT3	IFNA16	
																		MAGEB3	HLA-B	LOC100506585						ARPC3	ATP5L2		SLC28A1		STRAP	CPT2	GBX2	IFNA17	
																		MAGEB4	HLA-C	GIMAP1-GIMAP5						PLXNC1	LOC284930		SLC24A1		PRR4	CR1	GCG	IFNA21	
																		MAOA	HLA-DMA	MIR5707						MPHOSPH9	LOC284933		CCPG1		PHB2	CR1L	GCKR	IFNA22P	
																		MAOB	HLA-DMB	LOC101927914						CAMKK2	RPL23AP82		GCNT3		KLRK1	CR2	MSTN	IFNB1	
																		MCF2	HLA-DOA	LOC101928700						TRAFD1	LINC00634		COPS2		ERC1	CRABP2	GFPT1	IFNW1	
																		CD99	HLA-DOB	LOC101929998						TMED2	C22orf34		TRIP4		GABARAPL1	CRP	GGCX	IL11RA	
																		MID1	HLA-DPA1	GHET1						ERP29	CHKB-CPT1B		TGM5		IFFO1	CRYZ	GLI2	INSL4	
																		FOXO4	HLA-DPB1	LINC01287						CKAP4	OGFRP1		COX5A		NECAP1	CSF1	GLS	JAK2	
																		CITED1	HLA-DPB2	LOC105375556						GCN1	LINC00207		STOML1		CLEC4E	CSF3R	GPC1	LCN1	
																		MSN	HLA-DQA1	LINC01022						METAP2	MIRLET7BHG		HOMER2		GALNT8	CSRP1	GPD2	LCN2	
																		MTM1	HLA-DQA2							SDS	LINC00898		PIGB		GPR162	CTBS	GPR1	LMX1B	
																		NAP1L2	HLA-DQB1							GLIPR1	IL17REL		KIF23		SLCO1B3	CTH	GPR17	MLLT3	
																		NAP1L3	HLA-DQB2							RAB35	MIRLET7A3		IGDCC3		CLEC2D	CTPS1	GPR35	MTAP	
																		NDP	HLA-DRA							SNRNP35	MIRLET7B		ZNF592		COPS7A	CTSE	GPR39	MUSK	
																		NDUFA1	HLA-DRB1							KERA	MIR33A		PPIP5K1		TAS2R9	CTSK	GRB14	NCBP1	
																		NHS	HLA-DRB5							KRR1	LINC00229		SECISBP2L		TAS2R8	CTSS	MSH6	NDUFA8	
																		NONO	HLA-DRB6							PRDM4	DENND6B		KIAA0101		TAS2R7	CYP2J2	GTF3C2	NDUFB6	
																		GPR143	HLA-E							CIT	PIM3		LCMT2		TAS2R13	CYP4A11	GYPC	NFIB	
																		TBC1D25	HLA-F							PWP1	SHISA8		ARNT2		TAS2R10	CYP4B1	HADHA	NFIL3	
																		OCRL	HLA-G							FICD	ODF3B		USP3		TAS2R14	DAB1	HADHB	NFX1	
																		OPHN1	HLA-H							NUDT4	PRR5-ARHGAP8		NR2E3		CLEC4A	CD55	HDLBP	NINJ1	
																		OTC	HLA-J							PHLDA1	TBC1D22A-AS1		BCL2L10		HEBP1	DBT	HK2	NOTCH1	
																		P2RY4	HLA-L							MLXIP	SYCE3		HCN4		GOLT1B	GADD45A	HNMT	NPR2	
																		PAK3	HMGA1							RPH3A	LOC730668		SCAMP2		DERA	DDOST	TLX2	NTRK2	
																		CDK16	HSF2							FBXO21	LINC01310		SNUPN		ING4	DHX9	HOXD1	ROR2	
																		PDHA1	HSPA1A							SETD1B	NDUFA6-AS1		PDCD7		DDX47	DFFA	HOXD3	ODF2	
																		PDK3	HSPA1B							UHRF1BP1L	CHKB-AS1		TSPAN3		MRPL51	DFFB	HOXD4	OMD	
																		CFP	HSPA1L							CUX2	LINC00899		FEM1B		CLEC1B	DHCR24	HOXD8	OGN	
																		PFKFB1	HSP90AB1							KIAA1033	MIR1249		RASGRP1		CLEC1A	DIO1	HOXD9	ORM1	
																		PGK1	HTR1B							MED13L	MIR3201		SERF2		C1RL	DLSTP1	HOXD10	ORM2	
																		PHEX	HTR1E							ZDHHC17	MIR3619		DENND4A		KLRF1	DPH2	HOXD11	PAEP	
																		PHKA1	ID4							SIRT4	MIR3667		SNAPC5		WBP11	DPT	HOXD12	PAPPA	
																		PHKA2	IFNGR1							ABCB9	LOC100506679		HMG20A		SLCO1C1	DPYD	HOXD13	PAX5	
																		PIGA	IGF2R							ISCU	NUP50-AS1		CORO2B		PLEKHA5	DR1	HPCAL1	PDCL	
																		PIN4	IL17A							ATP6V0A2	LINC01589		CIB2		MANSC1	DRD5P2	AGFG1	PBX3	
																		PLP1	IMPG1							CORO1C	MIR4763		MTHFS		TAPBPL	DVL1	DNAJB2	PCSK5	
																		PLP2	IRF4							MGAT4C	MIR4762		ARID3B		MAGOHB	E2F2	HSPD1	PGM5	
																		PLS3	ITPR3							FBXW8	MIR378I		GNB5		FAM90A1	ECE1	HSPE1	PHF2	
																		POLA1	JARID2							HSPB8	MIR4535		ARPP19		PLEKHG6	ECM1	FOXN2	PTPA	
																		POU3F4	KIFC1							RNU4-2	EFCAB6-AS1		CLPX		STYK1	S1PR1	HTR2B	PPP3R2	
																		PPEF1	KPNA5							RNU4-1	LOC101927447		MORF4L1		ETNK1	EDN2	ID2	PPP6C	
																		PRKX	LAMA2							HCAR1	LOC101927526		SLC27A2		GPRC5D	PHC2	IDH1	PRKACG	
																		PRPS1	LAMA4							UTP20	LL22NC03-75H12.2		ADAMTS7		ATF7IP	EIF2D	SP110	PRSS3	
																		PRPS2	LPA							MRPL42	MIR6821		AKAP13		H2AFJ	EFNA1	IGFBP2	PSMB7	
																		PRRG1	LTA							IFT81	MIR6889		GPR176		FOXJ2	EFNA3	IGFBP5	PSMD5	
																		PSMD10	LTB							CCDC59	LINC01315		CHP1		ITFG2	EFNA4	IHH	PTCH1	
																		RBBP7	MARCKS							FAM216A	LOC105373044		OIP5		LMO3	CELSR2	IL1A	PTGDS	
																		RBM3	MAK							HCFC2	LOC105373051		ITGA11		CMAS	MEGF6	IL1B	PTGS1	
																		RP2	MAN1A1							SYCP3	LOC105373100		BAHD1		PRMT8	EPHA2	IL1R1	PTPN3	
																		RPGR	MAS1							CHST11			CEP152		PARP11	ELAVL4	IL1RN	PTPRD	
																		RPL39	MCM3							CCDC53			MAPKBP1		ANO2	ELF3	CXCR1	RAD23B	
																		RPL36A	MDFI							CEP83			ZNF609		C12orf4	ELK4	CXCR2	RALGDS	
																		RPS4X	ME1							GPN3			TBC1D2B		TIGAR	ENO1	CXCR2P1	RFX3	
																		RPS6KA3	MEA1							GLTP			RTF1		LPAR5	ENSA	INHA	RGS3	
																		RS1	MAP3K4							MAPKAPK5-AS1			MESDC2		AICDA	EPB41	INHBB	RLN1	
																		SAT1	MAP3K5							ARL6IP4			ACSBG1		RIMKLB	EPHA8	INPP1	RLN2	
																		SCML1	MEP1A							TAOK3			KIAA1024		FAM234B	EPHB2	INPP4A	RMRP	
																		TRAPPC2	MICB							POP5			MGA		CLEC7A	EPHX1	INPP5D	RORB	
																		SH3BGRL	MLN							ANAPC5			DMXL2		WNK1	EPRS	ITGA6	RPL7A	
																		SHOX	MOCS1							ANAPC7			VPS39		BCL2L14	EPS15	IRS1	RPL12	
																		SLC16A2	MOG							TRIAP1			TMED3		ADIPOR2	ESRRG	ITGA4	RPS6	
																		SMARCA1	MSH5							NT5DC3			AP4E1		RERGL	ETV3	ITGAV	RXRA	
																		SMS	MUT							VPS29			SEC11A		PLBD1	EXTL1	ITGB6	CCL19	
																		SOX3	MYB							TPCN1			CCNDBP1		PYROXD1	EXTL2	KCNF1	CCL21	
																		SRD5A1P1	MYO6							SSH1			DAPK2		NANOG	EYA3	KCNJ3	SET	
																		SSX1	RPL10A							RHOF			EID1		SPX	F3	KCNJ13	SH3GL2	
																		SSX2	NEDD9							VSIG10			HYPK		DUSP16	F5	KCNK3	SHB	
																		SSX5	NEU1							TESC			ARIH1		WNT5B	F13B	KCNS3	SLC1A1	
																		SSX4	NFKBIE							PARPBP			SIN3A		APOLD1	FAAH	KHK	SMARCA2	
																		CDKL5	NFKBIL1							SLC6A15			TMEM87A		GSG1	FABP3	KIF3C	SNAPC3	
																		SUV39H1	NFYA							RIC8B			ULK3		CDCA3	FCER1A	KIF5C	SNAPC4	
																		SYN1	NMBR							APPL2			RPAP1		RHNO1	FCER1G	AFF3	SPTAN1	
																		SYP	NQO2							SBNO1			GLCE		NRIP2	FCGR1A	LCT	STXBP1	
																		TAF1	NOTCH4							DRAM1			PYGO1		RBP5	FCGR1B	LHCGR	SURF1	
																		SERPINA7	NT5E							SVOP			BLOC1S6		CCDC77	FCGR2A	LIMS1	SURF2	
																		TBL1X	OPRM1							STAB2			FBXO22		ACRBP	FCGR2B	LRP2	SURF4	
																		DYNLT3	PARK2							VEZT			RNU6-1		SPSB2	FCGR3A	LTBP1	MED22	
																		TDGF1P3	PBX2							GOLGA2P5			RNU5A-1		CRACR2A	FCGR3B	LY75	SURF6	
																		TFE3	PCMT1							ZCCHC8			RNU5B-1		RERG	FDPS	EPCAM	SYK	
																		TIMP1	ENPP1							SCYL2			NPTN		PLCZ1	FGR	MXD1	TAL2	
																		TSPAN7	ENPP3							POLR3B			FOXB1		HTR7P1	FH	MAL	TEK	
																		TSPAN6	PEX6							FGD6			RPUSD2		CACNA2D4	FHL3	MAP2	TESK1	
																		TMSB4X	PEX7							WSB2			TUBGCP4		CAPZA3	FOXE3	MAT2A	TGFBR1	
																		TRO	PGC							NDUFA12			SCG3		CLEC6A	FOXD2	MATN3	TLE1	
																		TRPC5	PGK2							DIABLO			TMOD3		C12orf57	FLG	MCM6	TLE4	
																		UBA1	PGM3							ANKS1B			TMOD2		BORCS5	FMO1	MDH1	TLN1	
																		UBE2A	PHF1							CHPT1			EHD4		TMEM52B	FMO2	MEIS1	TLR4	
																		SLC35A2	SERPINB6							TMCC3			SCAPER		HIST4H4	FMO3	MGAT5	TMOD1	
																		KDM6A	SERPINB9							PITPNM2			DUOX2		ERP27	FMO4	MPV17	TPM2	
																		WAS	PIM1							DHX37			MYEF2		AEBP2	FMO5	MYO1B	TRAF1	
